id,name
COMP_0001,"Хэд энд Шолдерс - Шампунь д/волос против перхоти, 400мл"
COMP_0002,Head & Shoulders Засіб д/волосся ментол 200мл
COMP_0003,"Head&Shoulders - Шамп. для чувствительной кожи, 600мл"
COMP_0004,"Pantene ProV - Засіб д/волосся восстановление, 400мл"
COMP_0005,Pantene ProV Шампунь объем 250мл
COMP_0006,Шамп. Pantene (питание) 200мл
COMP_0007,L'Oreal Elseve ШАМПУНЬ против выпадения 400мл
COMP_0008,ШАМПУНЬ Elseve для окрашенных волос 250мл
COMP_0009,Засіб д/волосся L'Oreal Elseve (экстраординарное масло) 400мл
COMP_0010,Gliss Шамп. экстремальное восстановление 400мл
COMP_0011,Засіб д/волосся GLISS KUR гиалурон 250мл
COMP_0012,Засіб д/волосся Шаума (7 трав) 400мл
COMP_0013,"ШАМПУНЬ SCHAUMA ""для мужчин"" 400мл"
COMP_0014,Шампунь д/волос Шаума (fresh it up) 250мл
COMP_0015,CLEAR Засіб д/волосся ледяная свежесть 400мл
COMP_0016,"Clear Men - Шамп. против перхоти для женщин, 380мл"
COMP_0017,"Шамп. Dove ""интенсивное восстановление"" 400мл"
COMP_0018,Шамп. Дав (питательный уход) 250мл
COMP_0019,"Шампунь Nivea ""мицеллярный"" 400мл"
COMP_0020,Засіб д/волосся Nivea Care (для жирных волос) 250мл
COMP_0021,"ШАМПУНЬ Fructis ""рост во всю силу"" 400мл"
COMP_0022,Шамп. Гарньер огуречная свежесть 250мл
COMP_0023,"SYOSS - Шамп. keratin, 500мл"
COMP_0024,Syoss ШАМПУНЬ repair 440мл
COMP_0025,Timotei Засіб д/волосся чистота и свежесть 400мл
COMP_0026,Шампунь L'Oreal Paris полное восстановление 5 400мл
COMP_0027,"Шампунь Лореаль ""против ломкости"" 250мл"
COMP_0028,Herbal Essences Шамп. алоэ и манго 400мл
COMP_0029,Herbal Essences ШАМПУНЬ аргановое масло 400мл
COMP_0030,Шамп. Organix (кокосовое молоко) 385мл
COMP_0031,"OGX - ШАМПУНЬ аргановое масло Марокко, 385мл"
COMP_0032,Tresemmé Засіб д/волосся разглаживающий 400мл
COMP_0033,Tresemmé Шамп. для объема 400мл
COMP_0034,Шампунь Londa для нормальных волос 250мл
COMP_0035,Шампунь д/волос AUSSIE miracle moist 300мл
COMP_0036,PANTENE Бальзам интенсивное восстановление 200мл
COMP_0037,"Ополіскувач Pantene ProV ""густые и крепкие"" 360мл"
COMP_0038,Elseve L'Oreal Бальз. полное восстановление 200мл
COMP_0039,Ополіскувач Elseve L'Oreal (цвет эксперт) 200мл
COMP_0040,Кондиционер GLISS KUR (oil nutritive) 200мл
COMP_0041,"Gliss Kur - Кондиц. liquid silk, 200мл"
COMP_0042,"SCHAUMA - Бальз. природные минералы, 250мл"
COMP_0043,"Дав - Conditioner интенсивное восстановление, 200мл"
COMP_0044,"DOVE - Кондиционер питательный уход, 200мл"
COMP_0045,Бальзам-ополаскиватель GARNIER (superfood банан) 350мл
COMP_0046,"Garnier - Conditioner sos восстановление, 200мл"
COMP_0047,"SYOSS - Кондиц. moisture, 500мл"
COMP_0048,Syoss Кондиц. color 500мл
COMP_0049,Лореаль Ополіскувач эльсев против ломкости 400мл
COMP_0050,"Бальзам-кондиціонер Хербал Эссенсес ""кокосовое молоко"" 400мл"
COMP_0051,Бальзам-кондиціонер OGX macadamia oil 385мл
COMP_0052,Ополіскувач Tresemmé (keratin smooth) 400мл
COMP_0053,HeadShoulders Conditioner основной уход 200мл
COMP_0054,Conditioner AUSSIE (3 minute miracle) 250мл
COMP_0055,Hair mask Pantene интенсивное восстановление 300мл
